product_code,product_name,ingredient
693903850,"네시나메트정12.5/850밀리그램(알로글립틴벤조산염,메트포르민염산염)_(1정)",metformin
653405450,"다플진메트서방정10/500밀리그램(다파글리플로진프로판디올수화물, 메트포르민염산염)_(1정)",metformin
662504870,"플로가엠듀오서방정10/1000밀리그램(다파글리플로진, 메트포르민)_(1정)",dapagliflozin
648104090,리타메진정2.5/500밀리그램_(1정),metformin
643307560,듀비메트서방정0.25/500밀리그램_(1정),lobeglitazone
658108350,테네글엠서방정20/1000밀리그램_(1정),metformin
655603450,글루코프리서방정750밀리그램(메트포르민염산염)_(0.75g/1정),metformin
73600033,파미레이300주사액(이오파미돌)_(18.36g/30mL),iopamidol
670609330,"리나디포듀오서방정5/1000밀리그램(리나글립틴,메트포르민)_(1정)",metformin
669908380,"리포민듀오서방정2.5/1000밀리그램(리나글립틴, 메트포르민염산염)_(1정)",linagliptin
658204720,다파로진듀오서방정10/1000밀리그램_(1정),metformin
653007060,"파마엠파로우듀오정12.5/1000밀리그램(엠파글리플로진, 메트포르민염산염)_(1정)",empagliflozin
671807570,다파원엠서방정10/1000밀리그램_(1정),dapagliflozin citric acid
690303580,테넬리탁듀오서방정10/750밀리그램_(1정),teneligliptin
663608960,"엠글리듀오서방정10/1000밀리그램(엠파글리플로진, 메트포르민염산염)_(1정)",empagliflozin
